iter	Accuracy	Logloss
0	0.80375	0.6867689022
1	0.845	0.6811065837
2	0.85125	0.675456564
3	0.86	0.6698363724
4	0.86875	0.6641635731
5	0.8625	0.6588773739
6	0.865	0.6543643001
7	0.8625	0.6494629182
8	0.86	0.6443615353
9	0.8575	0.6401209181
10	0.8625	0.6353246128
11	0.86	0.6312097746
12	0.85625	0.6271570909
13	0.86	0.6225383978
14	0.86125	0.6187345463
15	0.85625	0.6145895112
16	0.85875	0.6101152479
17	0.855	0.6055806193
18	0.85875	0.6012226373
19	0.8575	0.5965192542
20	0.85625	0.5928240559
21	0.855	0.5892543938
22	0.855	0.5851761613
23	0.8525	0.5808485884
24	0.8525	0.5768110724
25	0.85625	0.5732581273
26	0.85625	0.5700239892
27	0.85625	0.566453146
28	0.855	0.5632817953
29	0.85625	0.5596080265
30	0.8575	0.5560950917
31	0.8575	0.5527453819
32	0.86	0.5498783162
33	0.85625	0.5460676423
34	0.8575	0.5426986808
35	0.8575	0.539132264
36	0.85875	0.5363125924
37	0.8575	0.5334312271
38	0.85625	0.5306275234
39	0.86	0.5272664792
40	0.8575	0.52510752
41	0.8575	0.5223831543
42	0.8575	0.5195805995
43	0.85875	0.5169080889
44	0.86125	0.5135973921
45	0.8625	0.5107732006
46	0.8625	0.5079067306
47	0.86375	0.5056025967
48	0.865	0.5029599488
49	0.8625	0.500778784
50	0.8625	0.4980559289
51	0.8625	0.4956756557
52	0.86125	0.4928585073
53	0.86125	0.4907737558
54	0.86625	0.4887837254
55	0.86625	0.4864553132
56	0.8675	0.4840766414
57	0.8675	0.4819689331
58	0.8675	0.4789712672
59	0.86875	0.4763745184
60	0.87	0.4740486795
61	0.87	0.4716416192
62	0.86625	0.4694884157
63	0.86875	0.4673934151
64	0.87125	0.4656084852
65	0.86875	0.4634063811
66	0.86875	0.4612728364
67	0.86875	0.4593968079
68	0.8675	0.457380544
69	0.86875	0.4553657618
70	0.86875	0.4532456457
71	0.86625	0.4519537358
72	0.86625	0.4501482713
73	0.86625	0.4483369043
74	0.86875	0.4464755066
75	0.86875	0.4448758721
76	0.8675	0.4433712515
77	0.86875	0.4415842896
78	0.8675	0.4400208676
79	0.87	0.438348098
80	0.86875	0.436327023
81	0.86875	0.434984409
82	0.87	0.4335306523
83	0.86875	0.4315210664
84	0.87125	0.4300669992
85	0.87	0.4281846407
86	0.87125	0.4263220922
87	0.87125	0.4247188324
88	0.8725	0.4226060325
89	0.875	0.4209921496
90	0.875	0.419505422
91	0.87625	0.4184502563
92	0.87625	0.4170610834
93	0.875	0.4155172154
94	0.87625	0.4138159078
95	0.87625	0.4121697343
96	0.87875	0.4105097765
97	0.87875	0.4092487434
98	0.87625	0.4078049231
99	0.8775	0.4063950776
100	0.8775	0.405415565
101	0.88125	0.4037542478
102	0.87875	0.4020783238
103	0.88	0.4008959251
104	0.88	0.3995219974
105	0.88	0.3981557591
106	0.88	0.3969574654
107	0.88	0.39572205
108	0.88	0.3943464533
109	0.88	0.3931977702
110	0.88	0.3921379565
111	0.88	0.390802824
112	0.87875	0.3896960604
113	0.88125	0.3885946332
114	0.8825	0.3872911129
115	0.88125	0.3858637766
116	0.8825	0.3845187725
117	0.88125	0.3831831748
118	0.885	0.3822982145
119	0.88625	0.3811190512
120	0.88625	0.3798649709
121	0.8875	0.3788168639
122	0.88875	0.3776441464
123	0.88875	0.3767110985
124	0.89125	0.3754785541
125	0.8925	0.3738973024
126	0.8925	0.3727971062
127	0.8925	0.371585916
128	0.89375	0.3707176359
129	0.895	0.3698055073
130	0.895	0.3687054458
131	0.895	0.3676209635
132	0.895	0.3666550751
133	0.89375	0.365521924
134	0.89625	0.3643755186
135	0.895	0.3637090075
136	0.895	0.3626474751
137	0.89625	0.3615618587
138	0.89625	0.36034082
139	0.89625	0.3593974303
140	0.89625	0.3588190428
141	0.89625	0.3579354808
142	0.89625	0.3566993521
143	0.8975	0.3553332389
144	0.89625	0.3543280049
145	0.89875	0.3531693305
146	0.89875	0.3518679752
147	0.89875	0.3509590014
148	0.9	0.3500386064
149	0.9	0.3485669088
150	0.90125	0.347378952
151	0.9025	0.3462959331
152	0.9025	0.345490552
153	0.9025	0.3443551155
154	0.9025	0.3434761593
155	0.9025	0.3426589734
156	0.9025	0.3414090692
157	0.90375	0.3409786628
158	0.90375	0.339937532
159	0.90375	0.3390156448
160	0.905	0.3381215382
161	0.905	0.3371985017
162	0.90625	0.3364716976
163	0.90625	0.3356492444
164	0.9075	0.334732903
165	0.90625	0.3340163011
166	0.90625	0.3332935801
167	0.9075	0.3324286438
168	0.9075	0.3314801899
169	0.9075	0.3307395559
170	0.9075	0.3297701883
171	0.9075	0.3288031177
172	0.90625	0.3281395562
173	0.90625	0.3275270123
174	0.90625	0.3268304219
175	0.90625	0.3261652868
176	0.9075	0.3252277279
177	0.90875	0.3243203071
178	0.91125	0.3234714999
179	0.91125	0.3222971504
180	0.91375	0.3217139111
181	0.9125	0.3210053884
182	0.9125	0.3200230938
183	0.9125	0.3192717931
184	0.91125	0.3182999157
185	0.91375	0.3175393167
186	0.91125	0.316852629
187	0.91375	0.3160450819
188	0.91375	0.3153791929
189	0.91375	0.3146525413
190	0.91375	0.3141941503
191	0.91375	0.3133336627
192	0.915	0.3126098318
193	0.91625	0.3121688153
194	0.91625	0.3115858383
195	0.91875	0.3109007325
196	0.91875	0.3102809852
197	0.91875	0.309510881
198	0.91875	0.3087572269
199	0.91875	0.3080353032
200	0.91875	0.3073157873
201	0.91875	0.3063654286
202	0.91875	0.3058480216
203	0.91875	0.3053236349
204	0.92	0.3046144542
205	0.92	0.3041162217
206	0.92	0.3034583593
207	0.92	0.3031404672
208	0.92	0.3025482444
209	0.92125	0.3018267616
210	0.92	0.3013548637
211	0.92125	0.3006215515
212	0.92125	0.299876184
213	0.92125	0.2992085702
214	0.9225	0.2986144638
215	0.92125	0.2981178692
216	0.92125	0.2974883083
217	0.9225	0.296657537
218	0.9225	0.2960565884
219	0.9225	0.2956602168
220	0.9225	0.2950690105
221	0.9225	0.2947416942
222	0.9225	0.294179338
223	0.9225	0.293246093
224	0.9225	0.2925766293
225	0.92375	0.2922916367
226	0.92375	0.2917683005
227	0.925	0.2911490206
228	0.925	0.2901544178
229	0.925	0.2895641808
230	0.925	0.288894452
231	0.925	0.2882937228
232	0.92375	0.2877761627
233	0.92375	0.2873506447
234	0.92375	0.2867965413
235	0.925	0.2861801804
236	0.92375	0.2856768313
237	0.925	0.285093899
238	0.925	0.2843106141
239	0.92375	0.2834949718
240	0.92375	0.2828140824
241	0.92375	0.2821803751
242	0.925	0.281738929
243	0.92625	0.2813812432
244	0.925	0.2807753304
245	0.925	0.2801675678
246	0.925	0.2796076792
247	0.925	0.2789042313
248	0.925	0.2782192289
249	0.92625	0.27760635
250	0.92625	0.2767997296
251	0.9275	0.2764116695
252	0.93	0.2759480688
253	0.92875	0.2755374939
254	0.9275	0.2750708938
255	0.9275	0.2747734982
256	0.92875	0.2744716319
257	0.92875	0.2739110286
258	0.93	0.2733924356
259	0.93125	0.2728676468
260	0.93125	0.2724068428
261	0.93125	0.2717868921
262	0.93125	0.2712966847
263	0.93125	0.2703454619
264	0.9325	0.269999935
265	0.9325	0.2694876733
266	0.93375	0.2690967729
267	0.93375	0.2685653836
268	0.9325	0.2681183424
269	0.93375	0.2676838754
270	0.93375	0.2669427778
271	0.93375	0.2663125739
272	0.9325	0.2655027865
273	0.93375	0.2649702381
274	0.9325	0.2644519455
275	0.93375	0.2640104723
276	0.9325	0.2632448297
277	0.93375	0.2626821227
278	0.93375	0.2622506954
279	0.93375	0.2614104156
280	0.93375	0.2609337472
281	0.93375	0.2605502103
282	0.93375	0.2600521187
283	0.93375	0.2596670068
284	0.935	0.2590438107
285	0.935	0.2585354619
286	0.93625	0.2580351451
287	0.93625	0.2576863488
288	0.93625	0.2573147804
289	0.935	0.2567290039
290	0.935	0.2560784081
291	0.93625	0.2554716209
292	0.93625	0.2550974891
293	0.9375	0.2547809047
294	0.9375	0.2544244994
295	0.9375	0.2541145943
296	0.9375	0.2537200207
297	0.93875	0.253231451
298	0.93875	0.2528877532
299	0.93875	0.2525489072
300	0.93875	0.2522499093
301	0.93875	0.2518339286
302	0.93875	0.2512211051
303	0.93875	0.2508366106
304	0.93875	0.2504832476
305	0.93875	0.2499726912
306	0.93875	0.2494834754
307	0.93875	0.2491774104
308	0.93875	0.2488080169
309	0.93875	0.2481449562
310	0.93875	0.2477104266
311	0.94	0.2471290756
312	0.93875	0.2467292171
313	0.93875	0.2464652018
314	0.93875	0.2461065378
315	0.93875	0.2456970996
316	0.93875	0.2453400813
317	0.94	0.2449522027
318	0.94	0.2443558341
319	0.94	0.2439660846
320	0.94	0.2434742045
321	0.94	0.2431762754
322	0.94	0.2426060365
323	0.94	0.2421590184
324	0.94	0.2416435829
325	0.94375	0.2410245662
326	0.94375	0.2407986629
327	0.94375	0.2404442309
328	0.945	0.2400944613
329	0.94625	0.2398460769
330	0.9475	0.2395581194
331	0.94625	0.2392524321
332	0.94625	0.2387009351
333	0.94625	0.2383836043
334	0.9475	0.23799117
335	0.94875	0.237639993
336	0.94875	0.2372334025
337	0.94875	0.236672744
338	0.94875	0.2363820547
339	0.9475	0.2359926177
340	0.9475	0.2355212525
341	0.94875	0.2351752287
342	0.94875	0.2346566697
343	0.9475	0.2343597306
344	0.94875	0.2341040747
345	0.95	0.2337498924
346	0.95	0.2331918823
347	0.95	0.2327017375
348	0.95125	0.2322498337
349	0.95	0.2319229375
350	0.95	0.2314751347
351	0.95	0.2311090173
352	0.95	0.2307635952
353	0.95	0.230442883
354	0.95125	0.2300051259
355	0.95125	0.2297027747
356	0.95125	0.2293314189
357	0.9525	0.2290197017
358	0.9525	0.2284308561
359	0.9525	0.2279893306
360	0.9525	0.227566547
361	0.95375	0.2270646008
362	0.95375	0.2267018819
363	0.95375	0.2263182903
364	0.955	0.2259920531
365	0.955	0.225657842
366	0.955	0.2253328078
367	0.95625	0.2247562408
368	0.95625	0.2244026711
369	0.95625	0.2239421318
370	0.9575	0.2236629344
371	0.9575	0.2232274196
372	0.95875	0.2228558709
373	0.96	0.2225914828
374	0.95875	0.2221858551
375	0.95875	0.2218540896
376	0.96	0.2214276311
377	0.96	0.2209616669
378	0.96	0.2206348193
379	0.96	0.2203329744
380	0.96125	0.2200691752
381	0.96125	0.2196936375
382	0.96125	0.2193909295
383	0.96125	0.2190684485
384	0.9625	0.2186229343
385	0.9625	0.2182210537
386	0.9625	0.217868547
387	0.9625	0.2176360743
388	0.9625	0.2171396107
389	0.9625	0.2167731544
390	0.9625	0.216486312
391	0.9625	0.2160665694
392	0.9625	0.2156666265
393	0.9625	0.2151664305
394	0.9625	0.2147387117
395	0.9625	0.2142249256
396	0.9625	0.2139448907
397	0.9625	0.2136666027
398	0.9625	0.2132163988
399	0.9625	0.2126249137
400	0.9625	0.2122536155
401	0.9625	0.2117369858
402	0.9625	0.2115459801
403	0.96375	0.2111144149
404	0.96375	0.2108409012
405	0.96375	0.2104673258
406	0.96375	0.2099919852
407	0.965	0.2095087151
408	0.96625	0.2089780998
409	0.96625	0.2085339579
410	0.96625	0.208037003
411	0.96625	0.2077566803
412	0.96625	0.2074897888
413	0.96625	0.2071732811
414	0.965	0.2069401506
415	0.965	0.2066183459
416	0.965	0.206412697
417	0.96625	0.2061294096
418	0.9675	0.205832539
419	0.9675	0.2055823824
420	0.9675	0.2052911019
421	0.96625	0.2050460453
422	0.9675	0.2047302828
423	0.9675	0.2041382695
424	0.9675	0.2037095526
425	0.96875	0.2034414026
426	0.9675	0.2030757809
427	0.96875	0.2028250462
428	0.96875	0.202188073
429	0.96875	0.2019173105
430	0.96875	0.2016298204
431	0.96875	0.2014014828
432	0.96875	0.2009959801
433	0.96875	0.2005573317
434	0.96875	0.2002579375
435	0.96875	0.199828908
436	0.96875	0.1995398842
437	0.96875	0.1992361022
438	0.96875	0.1989384632
439	0.96875	0.1986135736
440	0.96875	0.1983716548
441	0.96875	0.1980664528
442	0.96875	0.1978434987
443	0.96875	0.1974513888
444	0.97	0.1971918307
445	0.97	0.1969436639
446	0.97125	0.1967058285
447	0.97125	0.1964295417
448	0.97125	0.1961493732
449	0.97125	0.1958586826
450	0.97125	0.1952827942
451	0.97125	0.1948147969
452	0.97125	0.1947804617
453	0.9725	0.1943639172
454	0.97375	0.1939945021
455	0.97375	0.1937127861
456	0.97375	0.1936963896
457	0.9725	0.1934180855
458	0.9725	0.1931470384
459	0.97375	0.1928915602
460	0.97375	0.1926896615
461	0.97375	0.1921286692
462	0.97375	0.19190321
463	0.975	0.1915802343
464	0.975	0.1912574538
465	0.975	0.1910267748
466	0.975	0.1907460139
467	0.975	0.1904900827
468	0.975	0.1902058734
469	0.975	0.1900032594
470	0.97625	0.1896166674
471	0.975	0.1894040309
472	0.975	0.1890723563
473	0.97625	0.1888599025
474	0.975	0.1884526518
475	0.975	0.1881153701
476	0.975	0.187918175
477	0.975	0.1877352892
478	0.975	0.1875122505
479	0.975	0.1870454233
480	0.975	0.1867177414
481	0.975	0.1864572268
482	0.975	0.1862277216
483	0.975	0.1857565037
484	0.975	0.1854915974
485	0.975	0.1850484215
486	0.975	0.1847998865
487	0.975	0.1844972978
488	0.97625	0.1841611536
489	0.97625	0.1839550699
490	0.97625	0.1837075334
491	0.975	0.1836099508
492	0.975	0.1833667257
493	0.97625	0.1830570526
494	0.97625	0.182631913
495	0.97625	0.1824062305
496	0.9775	0.1821194511
497	0.9775	0.1819011576
498	0.9775	0.1816374191
499	0.9775	0.1815018639
500	0.97875	0.1811909823
501	0.97875	0.1809324344
502	0.9775	0.1807046436
503	0.9775	0.1804705415
504	0.97875	0.1802390373
505	0.97875	0.1799880404
506	0.97875	0.1797384543
507	0.97875	0.179473224
508	0.98	0.1791685313
509	0.97875	0.1788425466
510	0.97875	0.1785224828
511	0.97875	0.1782817523
512	0.97875	0.1780241737
513	0.98	0.1777404638
514	0.98	0.1772597113
515	0.98	0.1768682872
516	0.98	0.1766162709
517	0.98125	0.1762533895
518	0.98125	0.1759602628
519	0.98125	0.1756324786
520	0.98125	0.1753874193
521	0.98125	0.1750214316
522	0.98125	0.1748026833
523	0.98125	0.1745605272
524	0.98125	0.1742834397
525	0.98125	0.1740765236
526	0.98125	0.1737913046
527	0.98125	0.1735033489
528	0.98125	0.173316724
529	0.98125	0.1731576559
530	0.98125	0.1729524255
531	0.98125	0.1728129242
532	0.98125	0.1724906613
533	0.98125	0.1722851891
534	0.98125	0.1720394018
535	0.98125	0.1717422915
536	0.98125	0.1715610133
537	0.9825	0.1712414571
538	0.9825	0.1709523105
539	0.9825	0.1706852464
540	0.9825	0.1704825714
541	0.9825	0.1700110325
542	0.9825	0.1696776262
543	0.9825	0.1695302657
544	0.9825	0.1691832287
545	0.9825	0.1689257093
546	0.9825	0.1685673492
547	0.9825	0.1682316769
548	0.98375	0.1678822063
549	0.98375	0.167564039
550	0.98375	0.167394269
551	0.98375	0.1671847452
552	0.98375	0.1669657736
553	0.98375	0.1666706058
554	0.98375	0.1664481646
555	0.98375	0.1661815899
556	0.98375	0.1659026353
557	0.98375	0.1655709263
558	0.98375	0.1653461724
559	0.985	0.1651583845
560	0.985	0.1649035347
561	0.985	0.1646921338
562	0.985	0.1644328116
563	0.985	0.1642073244
564	0.985	0.163992819
565	0.985	0.1637629462
566	0.985	0.1636051463
567	0.985	0.1634332838
568	0.985	0.1632028427
569	0.985	0.1630047251
570	0.985	0.1628521189
571	0.98375	0.1625052226
572	0.985	0.1622255516
573	0.98625	0.1618719553
574	0.985	0.1616650718
575	0.985	0.1615155072
576	0.985	0.1612082155
577	0.98625	0.1608916449
578	0.98625	0.1606799226
579	0.98625	0.1604303177
580	0.98625	0.1600989514
581	0.98625	0.1598538952
582	0.98625	0.1597032245
583	0.98625	0.1594375226
584	0.98625	0.1592683655
585	0.98625	0.1589374392
586	0.98625	0.1586498764
587	0.98625	0.1583113728
588	0.98625	0.158078523
589	0.98625	0.1578826864
590	0.98625	0.1576711736
591	0.98625	0.157412032
592	0.98625	0.1572046102
593	0.98625	0.157002007
594	0.98625	0.1568139224
595	0.98625	0.1564540857
596	0.98625	0.1561587344
597	0.98625	0.1559733043
598	0.98625	0.155617651
599	0.9875	0.155480092
600	0.9875	0.1552497343
601	0.9875	0.1550366478
602	0.9875	0.1547714971
603	0.9875	0.1543305003
604	0.9875	0.15406472
605	0.9875	0.1539273927
606	0.9875	0.1537474985
607	0.9875	0.153518461
608	0.9875	0.1533352583
609	0.9875	0.1530862469
610	0.9875	0.1528186065
611	0.98875	0.1525595269
612	0.98875	0.1523599955
613	0.98875	0.1521124423
614	0.98875	0.1518803679
615	0.98875	0.1515958111
616	0.98875	0.1513345705
617	0.98875	0.1509947869
618	0.98875	0.1508639753
619	0.98875	0.1506783641
620	0.98875	0.1504181351
621	0.98875	0.1501871533
622	0.98875	0.1498479118
623	0.98875	0.1496417248
624	0.98875	0.1493658409
625	0.98875	0.1490844455
626	0.98875	0.1489765618
627	0.98875	0.1487842385
628	0.98875	0.1486762627
629	0.98875	0.1485321713
630	0.99	0.1482697823
631	0.99	0.1480630588
632	0.99	0.1478423739
633	0.99	0.1475348408
634	0.99	0.1473954846
635	0.99	0.1471778786
636	0.99	0.1468129046
637	0.99	0.1465986901
638	0.99	0.1464280634
639	0.99	0.1461579601
640	0.99125	0.1458985219
641	0.99125	0.1457420259
642	0.99125	0.1454417524
643	0.99125	0.145135085
