iter	Passed	Remaining
0	151	226907
1	155	116096
2	158	78960
3	161	60525
4	165	49360
5	168	41940
6	171	36635
7	174	32582
8	182	30160
9	184	27551
10	187	25365
11	189	23539
12	192	22050
13	195	20735
14	197	19571
15	199	18547
16	202	17639
17	204	16846
18	207	16185
19	210	15549
20	212	14982
21	216	14540
22	218	14046
23	221	13601
24	223	13181
25	225	12798
26	228	12449
27	230	12110
28	232	11797
29	234	11505
30	236	11227
31	239	10972
32	241	10734
33	243	10505
34	245	10278
35	247	10079
36	249	9882
37	252	9698
38	254	9519
39	256	9351
40	258	9193
41	260	9040
42	262	8894
43	264	8757
44	266	8624
45	268	8496
46	270	8372
47	272	8252
48	274	8141
49	277	8033
50	279	7927
51	281	7852
52	284	7756
53	286	7662
54	288	7570
55	290	7479
56	292	7394
57	294	7312
58	296	7232
59	298	7154
60	300	7080
61	302	7007
62	304	6936
63	306	6869
64	308	6801
65	310	6743
66	312	6681
67	314	6619
68	316	6560
69	318	6505
70	320	6449
71	322	6396
72	324	6343
73	326	6292
74	328	6240
75	330	6190
76	332	6144
77	334	6097
78	336	6050
79	338	6004
80	340	5962
81	342	5919
82	344	5878
83	346	5836
84	348	5796
85	350	5757
86	352	5721
87	354	5686
88	356	5650
89	358	5614
90	360	5580
91	362	5545
92	364	5512
93	366	5479
94	368	5446
95	370	5420
96	372	5391
97	374	5361
98	376	5331
99	378	5302
100	380	5271
101	382	5244
102	384	5218
103	386	5190
104	388	5163
105	390	5138
106	392	5112
107	394	5087
108	396	5062
109	398	5038
110	400	5015
111	402	4991
112	404	4966
113	406	4944
114	408	4921
115	410	4901
116	412	4879
117	414	4858
118	416	4837
119	418	4816
120	420	4794
121	422	4774
122	424	4754
123	426	4734
124	428	4714
125	430	4695
126	432	4676
127	434	4657
128	436	4638
129	438	4620
130	440	4603
131	442	4584
132	444	4568
133	447	4556
134	449	4543
135	451	4528
136	453	4511
137	455	4496
138	457	4479
139	459	4464
140	461	4448
141	463	4432
142	465	4416
143	467	4401
144	469	4386
145	471	4371
146	473	4356
147	475	4340
148	477	4325
149	478	4309
150	480	4294
151	482	4279
